ctx_len,n,mean_ms,std_ms,median_ms,p90_ms,p95_ms,p99_ms,min_ms,max_ms,min_tokens,median_tokens,max_tokens
16,5,2.478588,0.03805222621608378,2.46675,2.5176760000000002,2.530638,2.5410076,2.45133,2.5436,16,16.0,16
32,5,2.548988,0.0615799745858991,2.5403,2.614944,2.624142,2.6315004,2.49039,2.63334,32,32.0,32
48,5,2.4981359999999997,0.013338839154888869,2.48874,2.5130299999999997,2.5137199999999997,2.5142719999999996,2.48816,2.51441,48,48.0,48
64,5,2.5799399999999997,0.03294024514177155,2.5808,2.609174,2.610792,2.6120864,2.52844,2.61241,64,64.0,64
96,5,2.7101759999999997,0.04369534792171809,2.69978,2.75706,2.76438,2.770236,2.66141,2.7717,96,96.0,96
128,5,2.633994,0.038773952983929896,2.62826,2.673888,2.679234,2.6835108,2.58395,2.68458,128,128.0,128
192,5,2.76512,0.08622488561894431,2.72044,2.861138,2.867154,2.8719668,2.69445,2.87317,192,192.0,192
256,5,2.81281,0.06763490075397456,2.82659,2.876744,2.877132,2.8774424,2.74088,2.87752,256,256.0,256
384,5,2.842758,0.01539408555257523,2.84416,2.858222,2.860866,2.8629812,2.82492,2.86351,384,384.0,384
512,5,2.96991,0.01968448246716164,2.97371,2.986188,2.987394,2.9883588,2.93805,2.9886,512,512.0,512
